subject,ects,classtype,term,offered,first_year,description
Ray Tracing Project,4,"* Projekt programistyczny
* Pracownia programistyczna
* Wykład",,False,False,"Celem projektu jest nabycie umiejętności implementacji efektywnych struktur
przyspieszających ray tracing. W ramach przedmiotu po omówieniu metod
przyspieszania przedstawię podstawy fizyczne transportu światła, które pozwolą
na wyprowadzenie poprawnego algorytmu obliczającego oświetlenie (path tracer).
W ramach projektu każdy napisze od podstaw własny ray tracer (dokładniej path
tracer).

**Program:**

  * Metoda śledzenia promieni i algorytmy przyspieszające
  * Przegląd struktur przyspieszających i heurystyki dla ich konstrukcji
  * Podstawy fizyczne transportu światła
  * Metody Monte Carlo i path tracing

**Wymagania:** wiedza z podstaw grafiki komputerowej, podstawy rachunku
prawdopodobieństwa i analizy matematycznej, umiejętność biegłego programowania
w C/C++

"
"Seminar on IT Security, Cloud Computing, Microservices, and DevOps",3,,,False,False,"Celem seminarium jest zgłębienie aspektów bezpieczeństwa w nowych obszarach
jak Internet of Things, Cloud Computing, Microservices czy DevOps.

"
Blockchain and its applications,6,,,False,False,"Celem przedmiotu jest zapoznanie studentów z technologią blockchain,
podstawami teoretycznymi oraz jej bardzo szeroko rozumianymi zastosowaniami. W
planach jest również utworzenie prostej aplikacji wykorzystującej tę
technologię.

"
Programming in Scala,5,"* Pracownia programistyczna
* Wykład",,False,False,"Celem zajęć jest zapoznanie studentów ze współczesnym wieloparadygmatycznym
językiem programowania Scala. Scala jest posadowiona na platformie JVM (a
także .NET). Scala jest językiem skalowalnym, tzn. ten sam mechanizm językowy
równie dobrze opisuje małe, jak i duże komponenty programowe.

Najważniejsze cechy języka Scala są przedstawione na stronie:
<http://docs.scala-lang.org/tour/tour-of-scala.html>

  * Scala jest językiem z silną typizacją statyczną (system typów zarówno nominalny, jak i strukturalny), łączącym programowanie obiektowe i funkcyjne.
  * Scala jest językiem obiektowym, w którym każda wartość jest obiektem, a każda operacja jest metodą.
  * Scala jest językiem funkcyjnym, w którym każda funkcja jest wartością pierwszej kategorii.
  * Scala umożliwia użycie mechanizmu dopasowania do wzorca.
  * Scala wspiera niskopoziomowe programowanie współbieżne za pomocą wątków, ale oferuje wiele mechanizmów na wyższym poziomie abstrakcji, np. mechanizm aktorów, mechanizm Future, strumienie reaktywne, kolekcje równoległe, pamięć transakcyjną.
  * Możliwa jest „bezszwowa” integracja kodu w językach Scala i Java.

Na wykładzie będą przedstawione konstrukcje językowe języka Scala z
przykładami ich wykorzystania. Na zajęciach w pracowni studenci będą pisali
proste programy, których tematyka będzie zsynchronizowana z zagadnieniami,
omawianymi na wykładzie.

Wymagana jest podstawowa znajomość programowania funkcyjnego i obiektowego,

  * Odersky, L.Spoon, B.Venners, _Programming in Scala_ , Third Edition, Artima, Walnut Creek 2016
  * <http://www.artima.com/pins1ed/> (tu jest dostępne pierwsze wydanie)
  * G.Balcerek. _Język programowania Scala_ _(wyd. 2)_. G. Balcerek 2016

"
Seminar: Parameterized Algorithms,3,* Wykład interaktywny,,False,False,"The course will be given by Syed Mohammad Meesum.

    
    
      
    The course will be providing an introduction to the field of Parameterized Complexity.
    We will begin with stating the basic definitions and goals of the subject.
    I particular we would be focussing on the following.
    
    1. Kernelization -- compressing input instances.
    2. Branching and bounded-depth search trees.
    3. Iterative Compression — a general template for solving some graph deletion problems.
    4. Color Coding / Randomized methods — application to longest path etc.
    5. Parameterization Above Guarantee, LP based methods.
    6. W-hardness — when is a problem not fixed parameter tractable.
    
    By the end of the course, students would be expected to read papers and present them to the class.  
      
    Requirements: basic probability theory, basic complexity theory (NP-completeness).  
      
    Reading: https://www.mimuw.edu.pl/~malcin/book/parameterized-algorithms.pdf"
Seminar: Theory of linear and integer programming,3,,,False,False,"

"
Seminarium: Pathfinding algorithms,3,,,False,False,"**Pathfinding algorithms**

Seminarium ma na celu pokazanie, że problem wyszukiwania drogi na algorytmie
A* się nie kończy, a dopiero zaczyna. A także, że jest to problem bardzo
różnorodny, w praktyce występujący w wielu odmianach i często podlegający
dodatkowym ograniczeniom.

W tym celu chciałbym abyśmy opowiedzieli sobie m.in. o

  * niestandardowych funkcjach heurystycznych (rodzina ALT, ...)
  * hierarchicznych podejściach do przeszukiwania (HPA* i rozszerzenia)
  * asymetrycznych algorytmach dla grafów typu uniform grid (JPS, JPS+, ...)
  * wyszukiwaniu w czasie rzeczywistym (IDA*, DBA*, ...)
  * wyszukiwaniu przy dynamicznym środowisku (D*, D* Lite, ...)
  * równoczesne wyszukiwanie ścieżek dla wielu agentów
  * wyszukiwaniu w niestandardowych grafach (heksy, trójkąty)
  * tworzeniu (dobrze wyglądających) ścieżek w przestrzeni ciągłej 
  * różnych niestandardowych zagadnieniach (np. przeszukiwanie zależne od zawartości ekwipunku postaci)

Materiały przeglądowe:

  * [Pathfinding in Games,](http://drops.dagstuhl.de/opus/volltexte/2013/4333/pdf/4.pdf) Botea et al.
  * [A Comprehensive Study on Pathfinding Techniques for Robotics and Video Games](https://www.hindawi.com/journals/ijcgt/2015/736138/), Algfoor et al.
  * [Grid-Based Path Planning Competition](http://movingai.com/GPPC/), Sturtevant N.

"
Operating Systems (advanced),6,"* Ćwiczenia audytoryjne
* Pracownia programistyczna
* Wykład",,False,False,"Na wykładzie skupimy się na poznawaniu funkcji jądra systemu operacyjnego
udostępnianych programiście systemowemu. Oprócz tematów wspólnych dla
większości SO będziemy zapoznawać się z rozwiązaniami dostępnymi w systemach
uniksowych i uniksopodobnych (Linux, FreeBSD, NetBSD, MacOSX, QNX, MINIX3).

#### Wprowadzenie [4h]

  * Jądro, system operacyjny, dystrybucja.
  * Rodzaje systemów operacyjnych (wbudowane, czasu rzeczywistego, rozproszone).
  * Najważniejsze osiągnięcia w dziedzinie systemów operacyjnych.
  * Wywołania systemowe i komunikacja programów z jądrem.
  * Architektura jądra systemu operacyjnego (jądra monolityczne, mikrojądra, exokernel).

#### Procesy i wątki [8h]

  * Przestrzeń adresowa procesu.
  * Zarządzanie procesami i wątkami.
  * Hierarchia procesów.
  * Planowanie zadań.
  * Synchronizacja (wyłączanie przerwań, blokady, zmienne warunkowe).
  * Komunikacja (potoki, gniazda, skrzynki pocztowe)
  * Programowanie współbieżne (logika temporalna).

#### Pamięć [8h]

  * Zarządzanie pamięcią fizyczną (system bliźniaków).
  * Listowy algorytm przydziału.
  * Pule obiektów.
  * Pamięć wirtualna.
  * Zarządzanie przestrzenią wirtualną.
  * Stronicowanie na żądanie, buforowanie stron.
  * Algorytmy wymiany stron.
  * Ładowanie programów, biblioteki współdzielone.
  * Wersjonowanie przestrzeni adresowych (vm_object).

#### Pliki, systemy plików [6h]

  * Operacje na plikach i katalogach.
  * Hierarchia plików, punkty montażowe.
  * Uprawnienia plików.
  * Wirtualny system plików (VFS).
  * Zarządzanie przestrzenią dyskową.
  * Organizacja systemów plików (i-węzły, katalogi).
  * Migawki, dziennikowanie, kopie zapasowe.

#### Tematy dodatkowe [4h]

  * Sterowniki – zasoby, urządzenia, szyny, proces wykrywania urządzeń.
  * Zegar systemowy i zarządzanie czasem.
  * Proces ładowania systemu operacyjnego.
  * Autoryzacja i uwierzytelnianie (PAM).
  * Zapobieganie cyberatakom.
  * Maszyny wirtualne.

"
Semantics of programming languages,6,"* Ćwiczenia audytoryjne
* Wykład",,False,False,"Przedmiot stanowi wprowadzenie do formalnych technik opisu semantyki
(znaczenia) języków programowania oraz formalnych metod wnioskowania o
programach komputerowych. Omawiane na przedmiocie formalizmy znajdują
zastosowanie w projektowaniu i implementacji języków programowania, a także w
konstrukcji i weryfikacji oprogramowania. Wśród poruszanych tematów znajdą
się:

  * definicje indukcyjne
  * semantyka obliczeń imperatywnych, w tym semantyka operacyjna (naturalna) oraz denotacyjna (elementy teorii dziedzin)
  * semantyka obliczeń z interakcją (wejście/wyjście i/lub procesy współbieżne, strukturalna semantyka operacyjna i etykietowane systemy przejść, koindukcja i bisymulacje) 
  * semantyka programów funkcyjnych, w tym rachunek lambda i jego rozszerzenia jako modelowy język funkcyjny (semantyka redukcyjna, maszyny abstrakcyjne, kontynuacje)
  * systemy typów, w tym typy proste (typowanie syntaktyczne, terminacja obliczeń, relacje logiczne), polimorfizm parametryczny (darmowe twierdzenia), modularność (typowanie semantyczne), typy rekurencyjne (indeksowane relacje logiczne), równoważność kontekstowa programów, zaawansowane systemy typów (mutowalny stan, współbieżność, systemy typów i efektów).

W ramach ćwiczeń studenci będą rozwiązywać zadania teoretyczne ilustrujące i
poszerzające treści prezentowane na wykładzie.

**Prowadzący wykład:** Dariusz Biernacki i Filip Sieczkowski

**Wymagania wstępne:** Logika dla informatyków, Metody programowania,
Programowanie funkcyjne

**Literatura:**

  1. _The Formal Semantics of Programming Languages: An Introduction._ Glynn Winskel. Foundation of Computing Series, MIT Press 1993, ISBN 978-0-262-23169-5.
  2. _Semantics Engineering with PLT Redex._ Matthias Felleisen, Robert Bruce Findler, Matthew Flatt. The MIT Press 2009, ISBN 978-0262062756.
  3. _Theories of Programming Languages._ John C. Reynolds. Cambridge University Press 1998, ISBN 978-0521594141.
  4. _Types and Programming Languages._ Benjamin C. Pierce. The MIT Press 2001, ISBN 978-0262162098.
  5. _Advanced Topics in Types and Programming Languages._ Benjamin C. Pierce (editor). The MIT Press 2004, ISBN 978-0262162289.
  6. _Practical Foundations for Programming Languages (2nd edition)._ Robert Harper. Cambridge University Press 2016, ISBN 978-1107150300.

"
Seminar: Software Engineering,3,* Wykład monograficzny,,False,False,"Podczas seminarium omawiane są efektywne metody i standardy stosowane podczas
wytwarzania oprogramowania. Referaty dotyczą zwinnych i ciężkich metodologii
wytwarzania oprogramowania, stosowanych metod i narzędzi..

Podczas seminarium studenci równiez dzileą się wiedzą nt metod i narędzzi
inzynierii oprogramowania stosowanych w firmach w kktórych pracowali/pracują
ew. byli na praktyce."
Seminar: Games and game playing,3,"Wykład, prezentacja, dyskusja, indywidualna praca badawcza.",,False,False,"Na seminarium będziemy referować oryginalne prace dotyczące
gier w sensie klasycznym (takich jak szachy czy gra w karty).

Prace do omówienia będą pochodzić głównie z wiodących konferencji i obejmuje tematykę *Game Playing*: tworzenie agentów (graczy), języki opisu gier, rozwiązywanie gier, sztuczna inteligencja w grach, złożoność gier i General Game Playing.
Podam konkretne propozycje, ale będzie można również zaproponować własną o ile będzie związana z tematem.

W szczególności poszukuję grupy studentów do współpracy. Proponuję dołączenie do mojego [projektu](https://sites.google.com/a/cs.uni.wroc.pl/msz/home/cooperation).
W jego ramach można będzie wykonać pracę badawczo-rozwojową, której zaprezentowanie będzie również formą zaliczenia seminarium.

Trudność będzie zróżnicowana. Przedmiot powinien być przystępny także dla studentów I stopnia (od trzeciego semestru).

---

* AAAI proceedings [<https://www.aaai.org/Library/conferences-library.php>]
* IJCAI proceedings [<https://www.ijcai.org/past_proceedings>]
* ECAI proceedings [<https://www.eurai.org/library/ECAI_proceedings>]
* CIG proceedings [<http://www.ieee-cig.org/proceedings>]

Proszę patrzeć głównie na działy Game Playing oraz Game Theory z ostatnich lat."
Seminar: Algebraic effects,3,,,False,False,"Programming with algebraic effects and handlers is a novel technique of
representing computational effects such as exceptions, mutable state, or
nondeterminism, in a modular way, making it possible to program against an
interface, and with a number of different effects simultaneously, which is
where the more traditional monadic approach often falls short. Effects and
their handlers are rapidly making their way into practical programming, in the
form of dedicated languages (e.g., Eff and Koka), extensions of existing
languages (e.g., OCaml) and libraries.

In this seminar we are going to read a collection of recent research papers on
algebraic effects, identify future research directions in this area and
discuss the design and implementation of a prototypical programming language
supporting algebraic effects, implemented lately by Piotr Polesiuk, a PhD
student at our Institute.

**Literatura:**

  1. Andrej Bauer and Matija Pretnar. An effect system for algebraic effects and handlers _._ LMCS, 2014.
  2. Andrej Bauer and Matija Pretnar. Programming with algebraic effects and handlers. Journal of Logic and Algebraic Methods in Programming, 2015.
  3. Dariusz Biernacki, Maciej Piróg, Piotr Polesiuk, and Filip Sieczkowski. Handle with Care: Relational Interpretation of Algebraic Effects and Handlers. POPL, 2018 _._
  4. Yannick Forster, Ohad Kammar, Sam Lindley, Matija Pretnar. On the expressive power of user-defined effects: effect handlers, monadic reflection, delimited control. ICFP, 2017.
  5. Daniel Hillerström and Sam Lindley. Liberating effects with rows and handlers. TyDe@ICFP, 2016.
  6. Daniel Hillerström, Sam Lindley, Robert Atkey, and K. C. Sivaramakrishnan. Continuation passing style for effect handlers. FSCD, 2017.
  7. Ohad Kammar, Sam Lindley, and Nicolas Oury. Handlers in action. ICFP, 2013.
  8. Oleg Kiselyov and Kc Sivaramakrishnan. 2016. Eff directly in OCaml. Workshop on ML, 2016.
  9. Daan Leijen. Type directed compilation of row-typed algebraic effects. POPL, 2017.
  10. Sam Lindley, Conor McBride, and Craig McLaughlin. Do be do be do. POPL, 2017.
  11. Matija Pretnar. An introduction to algebraic effects and handlers. Invited tutorial paper. MFPS, 2015.
  12. Amr Hany Saleh, Georgios Karachalias, Matija Pretnar, Tom Schrijvers. Explicit Effect Subtyping. ESOP, 2018."
Course: Graph databases,3,,,False,False,"**The course will be held in the first half of the semester.**

The main topic of the course is the graph database engine Neo4j and its query
language CYPHER. During the labs we are going to query various interesting
graph data collections available (e.g., Paradise papers, Russian trolls).

Addtionaly, we can spend some time on RDF & SPARQL (see [Wikidata Query
Service](https://query.wikidata.org/)), Apache TinkerPop & Gremlin, Spark and
GraphX/GraphFrames.

**Links:**

<https://query.wikidata.org/>

<https://neo4j.com/developer/cypher-query-language/>

<https://jena.apache.org/tutorials/sparql.html>

<https://tinkerpop.apache.org/>

<https://spark.apache.org/docs/latest/quick-start.html>

<http://spark.apache.org/docs/latest/graphx-programming-guide.html>

**Requirements:** the general engineering culture."
53m1n4r1um dl4 h4k3r0w,3,,,False,False,"Seminarium jest przeznaczone przede wszystkim dla studentów, którzy biorą lub
zamierzają brać udział w zawodach informatycznych dotyczących bezpieczeństwa
komputerowego, takich jak [Capture the Flag](https://ctftime.org/). Na
zajęciach zostaną przedstawione popularne podatności oraz różne techniki ich
wykorzystywania do przełamywania zabezpieczeń, np.:

  * SQL Injection,
  * XSS Injection,
  * Buffer overflow,
  * Heap overflow i inne.

W referatach będą też omówione m.in.:

  * _Data Forensics_ , w tym wydobywanie ukrytych danych i metadanych z plików,
  * proste techniki _antydebug_ i ich omijanie,
  * mniej znane protokoły i ich podatności,
  * obsługa narzędzi do analizy kodu i _reverse engineering_ , takich jak Radare2, IDA, pgd-peda/pwndbg itp.,
  * ataki na protokoły kryptograficzne ( _hash length extension_ , _oracle padding_ , kryptoanaliza RSA z krótkim kluczem lub z ukrytą podatnością itp.).

W trakcie zajęć będzie także czas na wymianę praktycznych doświadczeń z
uczestnictwa w zawodach CTF, omówienie technik radzenia sobie z zadaniami i
pokazy rozwiązywania zadań na żywo.

Nie sposób przewidzieć, jakie nowe wielkie podatności wstrząsną światem
cyberbezpieczeństwa w najbliższym półroczu, ale na zajęciach na pewno będziemy
też analizować najważniejsze bieżące wydarzenia.

Wybrane seminaria będą miały formę warsztatów, podczas których słuchacze będą
mogli samodzielnie sprawdzać na komputerach techniki omawiane przez
prelegenta. Dlatego zaleca się uczestnikom seminarium, aby przynosili na
zajęcia własne laptopy.

Pomysłodawcą przedmiotu i autorem powyższego opisu jest instytutowa drużyna
CTF.

"
Seminar: Category theory and programming languages,3,,,False,False,
Seminarium: Silnik Unity i wirtualna rzeczywistość,3,,,False,False,"Seminarium będzie obejmować zaawansowane aspekty programowania w silniku
Unity.

Każdy ze studentów przygotuje godzinny wykład na jeden z tematów np:

\- oświetlenia

\- modelowania, teksturowania i importu assetów

\- animacji

\- materiałów (w tym Physically Based Shading materials)

\- shaderów

\- testowania (w tym testów automatycznych)

\- skryptów c#, i łączenia z głównym silnikiem

\- system kontroli wersji

\- multiplayer

\- AI agents

\- rodzajów renderingu (forward, deffered) i efektów post process (np. bloom)

\- Screen space ambient occlusion, Screen space reflections

\- Shader graph

\- Visual Effect Graph

Seminarium jest połączone z przedmiotem:

""Projekt zespołowy: silnik Unity3D i wirtualna rzeczywistość LATO"" i

zakończy się jednym dużym projektem gry na platformę HTC VIVE, która być może
umieścimy na platformie Steam.

Drugą godzinę seminarium poświęcimy na scrum'owe spotkanie w celu omawiania
postępów w grze.

Gra z poprzedniego roku:

[Egg teacher VR trailer (HTC Vive)](https://youtu.be/0twMMDEfiL8)

i poprzednia:

[CorveeVR - The First Million](https://youtu.be/kEafTtTls6I)

Sugerowane przygotowanie:

\- programowanie w c#

\- podstawowa znajomość Visual Studio

\- podstawowa znajomość Blendera, SketchUp'a (lub innego programu do
modelowania 3d)

\- podstawy grafiki komputerowej

\- język angielski umożliwiający zrozumienie materiałów i tutoriali"
Projekt zespołowy: silnik Unity3D i wirtualna rzeczywistość LATO,4,"* projekt programistyczny
* pracownia programistyczna
* prezentacja
* dyskusja
* konsultowanie pomysłów na rozwiązywanie zadań programistycznych
* samodzielna praca przy komputerze
* grupowy projekt programistyczny",,False,False,"Kontynuacja kursu programowania gier w silniku Unity3D, tym razem jako projekt
zespołowy.

Dla osób znających Unity3D poprzedni przedmiot nie jest wymagany.

Studenci tworzą 4-7 osobowe grupy które pracują nad własną grą. Przynajmniej
jedna z gier jest pisana pod system wirtualnej rzeczywistości HTC VIVE.

Na części seminaryjnej studenci przedstawiają godzinny wykład na temat
zaawansowanych aspektów Unity, druga godzina przeznaczona jest na spotkanie
Scrumowe na którym analizowany jest aktualny postęp prac nad grą oraz
przydzielane są nowe zadania.

Na pracowni piszemy grę oraz testujemy ją na HTC VIVE.

Gra z poprzedniego roku (wydana na Stream):

[Egg teacher VR trailer (HTC Vive)](https://youtu.be/0twMMDEfiL8)

i poprzednia:

[CorveeVR - The First Million](https://youtu.be/kEafTtTls6I)"
Program interaction: bisimulation and coinduction,3,"student presentation, discussion, problem solving",,False,False,"This seminar is an introduction to bisimulation and coinduction - techniques for reasoning about, possibly infinite, computing processes that interact with other processes and/or the environment in which they are run. The goal of the seminar is to familiarize the students with the mathematical foundations of bisimulation and coinduction, and to present their applications in various areas, including the semantics of infinite data structures (e.g., streams) and the theory of program equivalence in sequential languages (e.g., the Lambda-Calculus) as well as the theory of concurrent (mobile) communicating processes (e.g., CCS, the Pi-Calculus)."
Project: Digital Experience & Internet of Things,4,,,False,False,"Celem przedmiotu jest utworzenie kompletnego rozwiązania wspierającego pewne dobrze określone oczekiwanie biznesowe. Rozwiązanie powinno być oparte o wybrane technologie związane z Internetem rzeczy oraz o dodatkowe technologie jak EDGE computing, machine learning czy analiza danych i raportowanie. Dokładny zakres wybranych technologii, jak i scenariusz biznesowy będzie zależał od doświadczeń i umiejętności zapisanych studentów.

Same zajęcia będą przebiegały zgodnie z następującymi zasadami:
- Studenci będą pracować w grupach 3-5 osobowych wg. uzgodnionej metodyki zwinnej (preferowany będzie SCRUM)
- W każdej grupie zostaną przypisane odpowiednie role zgodne z wybraną metodyką
- Do pracy w grupie będą wykorzystane odpowiednie narzędzia w chmurze (np. Azure DevOps), dające oczekiwaną elastyczność i transparentność
- Podział prac w zespole powinien być w miarę równomierny i jedna z ról w zespole będzie za to odpowiedzialna
- Niektóre wybrane zajęcia będą miały charakter seminaryjny, na których wybrane osoby przedstawią zagadnienie oraz Proof of Concept (PoC) fragmentu niezbędnego do realizacji całości
- W określonym harmonogramie zespół będzie miał za zadanie zaprezentować bieżący postęp prac w postaci działającego fragmentu rozwiązania (demo). Szczegóły będą uzgodnione na pierwszych zajęciach.

Wybrane projekt(y) będą mogłyby być zarówno charakter bardziej inżynieryjny prowadzący do jasno określonego lub też bardziej badawczy mający na celu weryfikację kilku wariantów i przedstawienia dobrze umotywowanej rekomendacji. Istnieje potencjalna możliwość zdefiniowania oczekiwania biznesowego związanego z realnymi potrzebami z sektora automotive.

W ramach zajęć planowana jest współpraca z firmą NOKIA i potencjalne wykorzystanie platformy NOKIA Impact, chociaż nie będzie to obligatoryjne.

**Wymagania:**
Ogólne obycie z technologiami wykorzystanych do tworzenia rozwiązań WWW, bardzo pomocna, choć nie jest wymagana, będzie znajomość co najmniej jednej z: Internet of Things, Cloud Computing, EDGE Computing, Machine Learning, Data Analytics, Domain Driven Design, Software Architecture."
Artificial intelligence. Seminar,3,,,False,False,"Seminarium będzie rozwinięciem pewnych wątków przedmiotu Sztuczna inteligencja, w szczególności zagadnienia uczenia ze wzmocnieniem, dowodzenia twierdzeń, sieci Bayesowskich, rozwiązywania więzów. Niektóre tematy wystąpień będą prezentacją klasycznych wyników, ale pojawią się rówwnież tematy nawiązyjące do obecnych badań naukowych z tej dziedziny.
W przypadku, gdy na seminarium zapisze się osoba nie mówiąca po polsku, wówczas zajęcia będą prowadzone w języku angielskim."
Information and Coding Theory,3,"Wykład, prezentacja, rozwiązywanie zadań z prezentowaniem, dyskusja.",,False,False,"Teoria informacji bada zagadnienia takie jak: mierzenie ilości informacji w ciągu danych, ograniczenia na przetwarzanie danych czy ograniczenia komunikacji. Teoria informacji powstała by odpowiedź na pytania takie jak: jaki jest optymalny kompresor dla danego typu danych, albo jak szybko możemy przesyłać informacje przez kanał komunikacji.

Przedmiot zaczniemy od przedstawienia klasycznych zagadnień teorii informacji. Następnie skupimy się na zastosowaniu tych zagadnień: pokażemy dolne i górne granice dla kompresji danych, co więcej pokażemy, że wiele współcześnie stosowanych metod kompresji, pomimo faktu, że wydają się tylko heurystykami, ma teoretyczne podstawy (omówimy zarówno bezstratne jak i stratne algorytmy).
Oprócz klasycznych wyników pokażemy też te bardziej współczesne, np. jak teoria informacji pomaga uzyskać dolne granice dla uczenia maszynowego.

Wykład prowadzony będzie przez pierwszą połowę semestru.

Przedmiot jest niezależny (i rozłączny) od przedmiotu Kompresja Danych i można zaliczać oba przedmioty jednocześnie. W porównaniu do Kompresji Danych ten przedmiot jest nastawiony w o wiele większym stopniu na aspekty teoretyczne, np. gdy Kompresja Danych przedstawia szereg algorytmów kompresji i daje intuicje dlaczego działają, my pokażemy twierdzenia mówiące o skuteczności niektórych z nich.

###### Zagadnienia:
- Miary informacji: entropia, dywergencja, informacja wspólna, łańcuchy Markova, nierówność przetwarzania danych
- Kompresja bezstratna: kody o zmiennej długości, źródła ergodyczne, kodowanie uniwersalne
- Kompresja stratna: kompresja dźwięku i obrazu, transformata Karhunen–Loève, dyskretna transformata kosinusowa (DCT)
- Przepustowość kanałów komunikacji: twierdzenie Shannona–Hartley'a
- Inne zastosowania teorii informacji: uczenie maszynowe, generatory pseudolosowe

###### Wymagania wstępne:
Rachunek prawdopodobieństwa, Algebra

###### Literatura:
Thomas M. Cover, Joy A. Thomas, Elements of Information Theory. Wiley Series in Telecommunications, 1991.

Gareth A. Jones, Mary J. Jones, Information and Coding Theory. Springer, 2000.

David Salomon, Data Compression: The Complete Reference, Springer, 1998

Przedmiot będzie realizował część materiału z kursów innych uczelni, np.:
[Stanford](https://web.stanford.edu/class/ee376a/outline.html)
[MIT](https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-441-information-theory-spring-2016/lecture-notes/index.htm)
[UChicago](https://ttic.uchicago.edu/~madhurt/courses/infotheory2017/index.html)"
Half-semester course: Quantum algorithms,3,"Wykład, ćwiczenia",,False,False,"**Przedmiot prowadzony w drugiej połowie semestru wiosennego**

Algorytmy kwantowe, takie jak Algorytm Shora funkcjonują wśród informatyków raczej jako hasło, niż konkretna wiedza. Na tym przedmiocie spróbujemy wyjaśnić, co się&nbsp;za tym hasłem kryje i jak informatycy do tego doszli.

Przedmiot nie wymaga rozumienia fizyki, prowadzący również jej nie rozumie i wprowadzi tylko tyle, ile informatyka wymaga.

Przedmiot ten może być interesujący dla ambitnych studentów pierwszego roku, którzy chcieliby posmakować zaawansowanego kursu teoretycznego i uważali na pierwszej połowie kursu z Algebry."
Seminar: Selected topics in proof theory,3,"wykład, prezentacja",,False,False,"Celem przedmiotu jest omówienie wybranych zagadnień związanych z pojęciem dowodu jako obiektu matematycznego, który ma precyzyjnie określoną strukturę i którego własności możemy formalnie opisywać. Elementy teorii dowodu pojawiały się już przy innych okazjach, m. in. w związku z wnioskowaniem w logice konstruktywnej i izomorfizmem Curry'ego-Howarda.

Seminarium będzie obejmowało wykłady wprowadzające, prezentacje studentów oraz część praktyczną.

Najważniejsze zagadnienia:
1. Formalne systemy wnioskowania i ich własności. Dedukcja naturalna, rachunek sekwentów, system Hilberta dla logiki intuicjonistycznej.
2. Normalizacja dowodów.
3. Systemy wnioskowania dla logiki klasycznej i logik pośrednich.
4. Translacje pomiędzy systemami logicznymi.
5. Problem automatycznego znajdowania dowodów w systemach logicznych."
Scheduling Theory,6,"* lecture, including interactive lecture
* supervised and unsupervised problem solving, both individual and collective
* discussions",,False,False,"There is a plethora of job scheduling problems, whose common denominator is that there is a given set of jobs (with various parameters) and a number of machines that they have to be scheduled on so that a certain objective function is optimized.  The jobs have several parameters, such as processing times (or sizes), release times, weights that capture their importance, and, in some variants, deadlines.
 A few examples were studied in the Algorithms and Data Structures course, but these were relatively simple.  Most scheduling problems, particularly when more than one machine is available, are computationally hard, so we will typically consider approximation.

Sometimes we will restrict our attention to online algorithms, which seem particularly well suited to real life scheduling problems.  In particular, we might study nonclairvoyant scheduling, where on top of not knowing the jobs that will arrive later in time, the scheduler does not know the size (processing time) of each available job until it is processed till completion.  We may or may not touch upon stochastic scheduling, where the actual size of a job is a random variable whose distribution is known.

We will survey fundamental scheduling problems.  This means that we will consider:
* different objective functions, such as
 * maximum (weighted) completion time,
 * average/total (weighted) completion time,
 * maximum (weighted) flow time,
 * average/total (weighted) flow time,
 * maximum (weighted) tardiness,
 * average/total (weighted) tardiness, 
 * (weighted) throughput
 * maximum lateness / ""feasibility""
 * total energy consumption
* different machine setups:
 * single machine
 * identical machines (notice that their number may or may not be part of the input, which may affect computational complexity)
 * related machines (i.e., machines of different speeds)
 * unrelated machines (think different processor architectures, suitable to particular tasks: in general, each job specifies how much time it would take to complete it on each of the machines 
* different notions of preemption:
 * in non-preemptive scheduling, a job that is being processed has to be run until completion
 * in preemptive scheduling, the job can be stopped and resumed at any later time (there is also a variant ``with restarts'', only relevant in the online setting, where the renewed processing has to start from scratch); one may still distinguish between
   * non-migratory scheduling, where the job can be resumed only on the one machine it was assigned to before
   * migratory scheduling, where the job can be resumed at any of the available machines

The list goes on, and one might impose various constraints on job parameters, so clearly there is a huge number of problems.  To get a grip on them, we will also learn the basics of the four-field scheduling notation, and realize it is actually useful sometimes (see _scheduling zoo_ in the Literature)

**Some important points**

1. In case of interest, we might devote part of the curriculum to major open problems in the field.
2. This would be the very first edition of the course, so expect some glitches and possibly part-time seminar form, especially if there is interest in that.
3. The course can be taught in either English or Polish, though I have a preference for the former --- the literature is mostly available in English only; in particular, coming up with Polish terminology (even for aforementioned objective functions) might prove difficult.

### Prerequisites

You should be comfortable with designing algorithms for combinatorial optimization problems, proving their correctness, and analyzing complexity.  Some elementary knowledge of calculus, NP-hardness, approximation algorithms (incl. linear programming), online algorithms, and probability theory is required.

It is thus advised  --- but not necessary if you are motivated to learn the basics on your own --- that you have completed each of the following courses:

*  Discrete Mathematics
*  Algorithms and Data Structures
*  Formal Languages and Computational Complexity
*  Approximation Algorithms
*  Online Algorithms

### Literature

The core of our literature will be a number of seminal articles, which I will not list here.  I should point out though that:

1. http://schedulingzoo.lip6.fr/ is an excellent search engine to determine the status of a scheduling problem, at least its offline complexity.
2. Some of the standard topics are covered in the textbooks on _online algorithms_ by Borodin and El-Yaniv, on _approximation algorithms_ by Davidson and Schmoys, and, to a lesser extent, by Vazirani.
3. There is a number of handbooks of scheduling, which may or may not prove useful --- these are typically overwhelming at close to a thousand pages, and the topic selection seems arbitrary"
